Number of DTs,Number of Campuses,Number of Precincts,Number of Buildings,Number of Data Points,Total Time Taken,DT Response Time Taken,Visualisation Time Taken,Total RAM Usage (MB),Total RAM Usage (%),CPU Usage (%)
3,1,1,1,1,2288,2284,3,2580,3.95408368110657,11.4727573394775
3,1,1,1,2,2247,2246,1,2549,3.90657329559326,12.2916564941406
3,1,1,1,3,2160,2158,1,2525,3.86979103088379,13.0450229644775
3,1,1,1,4,2664,2662,2,2351,3.60312032699585,12.3704490661621
3,1,1,1,5,2729,2727,2,2351,3.60312032699585,11.862021446228
3,1,1,1,6,3390,3387,3,2351,3.60312032699585,13.3872776031494
3,1,1,1,7,2983,2980,3,2366,3.62610912322998,12.9841108322144
3,1,1,1,8,3379,3375,4,2366,3.62610912322998,10.7482509613037
3,1,1,1,9,3235,3231,4,2365,3.62457656860352,12.4094905853271
3,1,1,1,10,3318,3313,4,2366,3.62610912322998,11.6569881439209
3,1,1,1,11,3517,3511,5,2366,3.62610912322998,12.8092308044434
3,1,1,1,12,3666,3660,5,2367,3.62764191627502,10.9231491088867
3,1,1,1,13,3554,3547,6,2367,3.62764191627502,13.4117450714111
3,1,1,1,14,3879,3872,7,2370,3.63223958015442,14.4802284240723
3,1,1,1,15,3780,3772,7,2368,3.62917447090149,10.0429334640503
3,1,1,1,16,4143,4135,7,2367,3.62764191627502,11.3488626480103
3,1,1,1,17,4245,4236,8,2364,3.62304401397705,11.114052772522
3,1,1,1,18,4402,4393,9,2372,3.63530468940735,13.5191974639893
3,1,1,1,19,4768,4756,11,2372,3.63530468940735,15.2383699417114
3,1,1,1,20,5090,5080,9,2380,3.64756536483765,11.406436920166
3,1,1,1,21,5367,5356,10,2376,3.64143514633179,11.7238540649414
3,1,1,1,22,4718,4705,13,2382,3.65063071250916,12.4068460464478
3,1,1,1,23,5299,5288,11,2378,3.64450025558472,10.5377836227417
3,1,1,1,24,5339,5324,14,2386,3.65676093101501,11.6801681518555
3,1,1,1,25,5633,5621,12,2380,3.64756536483765,11.362268447876
3,1,1,1,26,5212,5199,13,2393,3.66748905181885,13.2997570037842
3,1,1,1,27,5318,5305,13,2391,3.66442394256592,11.0961132049561
3,1,1,1,28,5983,5969,13,2387,3.65829372406006,13.0337429046631
3,1,1,1,29,5636,5619,16,2395,3.67055439949036,10.4291877746582
3,1,1,1,30,6035,6019,15,2389,3.66135883331299,11.9979190826416
4,1,1,2,1,4522,4517,4,2534,3.88358449935913,15.7775182723999
4,1,1,2,2,4587,4585,1,2380,3.64756536483765,13.864146232605
4,1,1,2,3,4569,4563,5,2374,3.63837003707886,10.9438171386719
4,1,1,2,4,4626,4623,2,2377,3.64296770095825,12.0427322387695
4,1,1,2,5,5207,5204,3,2380,3.64756536483765,10.9238233566284
4,1,1,2,6,5396,5392,3,2385,3.65522837638855,10.5042390823364
4,1,1,2,7,5977,5972,4,2385,3.65522837638855,12.0595436096191
4,1,1,2,8,6350,6344,5,2383,3.65216326713562,14.148717880249
4,1,1,2,9,6007,6001,5,2390,3.66289138793945,10.5137796401978
4,1,1,2,10,6249,6243,6,2391,3.66442394256592,12.0490436553955
4,1,1,2,11,7177,7170,7,2394,3.66902184486389,12.6725406646729
4,1,1,2,12,7253,7245,7,2397,3.67361950874329,10.6681566238403
4,1,1,2,13,8146,8137,8,2396,3.67208695411682,11.4442863464355
4,1,1,2,14,7989,7980,8,2400,3.67821717262268,11.0085916519165
4,1,1,2,15,8605,8595,9,2393,3.66748905181885,10.8902282714844
4,1,1,2,16,7488,7477,10,2395,3.67055439949036,11.8711357116699
4,1,1,2,17,8320,8309,11,2398,3.67515206336975,12.4798164367676
4,1,1,2,18,8786,8774,11,2408,3.69047808647156,10.3678417205811
4,1,1,2,19,9405,9393,12,2401,3.67974996566772,13.552077293396
4,1,1,2,20,9383,9370,13,2408,3.69047808647156,11.4511909484863
4,1,1,2,21,9742,9728,13,2405,3.68588018417358,14.0043201446533
4,1,1,2,22,9990,9976,14,2411,3.69507575035095,13.0296154022217
4,1,1,2,23,9612,9597,14,2414,3.69967365264893,12.9380407333374
4,1,1,2,24,11402,11386,15,2415,3.70120620727539,13.7885122299194
4,1,1,2,25,10813,10797,15,2425,3.71653199195862,14.959755897522
4,1,1,2,26,10568,10551,17,2430,3.72419500350952,10.2765970230103
